"Account Number","Account Name","Department/Category"
"468A","Parts & Accessories Used Vehicle 'Other Franchise' Parts","Parts & Accessories"
"472A","Parts & Accessories Car Care Express - Hyundai","Parts & Accessories"
"472B","Parts & Accessories Car Care Express - Other Franchise","Parts & Accessories"
"472G","Parts & Accessories - Car Care Express - Hyundai EV","Parts & Accessories"
"481","Non-Auto & Aftermarket Merchandise, Miscellaneous","Parts & Accessories"
"490","Gas, Oil, & Grease","Parts & Accessories"
"491","Tires","Parts & Accessories"
"494A","Parts & Accessories Complimentary Maintenance - Hyundai","Parts & Accessories"
"494B","Parts & Accessories Complimentary Maintenance - Other Franchise","Parts & Accessories"
"494G","Parts & Accessories Complimentary Maintenance - Hyundai EV","Parts & Accessories"
"675","Parts & Accessories Inventory Adj. - Hyundai/Other","Parts & Accessories (CoS Adj)"
"680","LIFO Adjustments - Parts & Accessories","Parts & Accessories (CoS Adj)"
"462A","Parts & Accessories R.O. Body Shop - Hyundai","Body Shop"
"462B","Parts & Accessories R.O. Body Shop - Other Franchise","Body Shop"
"500","Customer Body Shop Labor","Body Shop"
"504","Warranty Claims Body Shop Labor","Body Shop"
"505","Internal Body Shop Labor","Body Shop"
"506","Sublet Repairs - Body Shop","Body Shop"
"507","Paint, Materials & Misc. - Body Shop","Body Shop"
"708","Unapplied Labor - Body Shop","Body Shop (CoS Adj)"
